AS, 3, Del, TableC, 100, 10, False, 1.2127685546875, 1.0347366333007812, 0.4078988095393309, 2020-03-31_225111
AS, 3, Del, TableA, 100, 10, False, 1.1142253875732422, 1.0215044021606445, 0.3064645951386102, 2020-03-31_225111
AS, 3, Del, TableB, 100, 10, False, 1.1699247360229492, 1.020193099975586, 0.4045509866954879, 2020-03-31_225111
AS, 3, Del, TableC, 100, 10, True, 5.888195037841797, 5.485892295837402, 1.8046308705845016, 2020-03-31_225113
AS, 3, Del, TableA, 100, 10, True, 1.4406776428222656, 1.0933876037597656, 0.7459969490522327, 2020-03-31_225113
AS, 3, Del, TableB, 100, 10, True, 1.5249872207641602, 1.035928726196289, 0.8549917541484456, 2020-03-31_225113
SQL, 3, Ins, TableC, 100, 1, True, 3.6643075942993164, 3.662705421447754, 0.22518200361482127, 2020-03-31_225114
SQL, 3, Del, TableC, 100, 1, True, 3.7606287002563477, 3.749966621398926, 0.15867373623482012, 2020-03-31_225115
SQL, 3, Del, TableA, 100, 1, True, 3.7500572204589844, 3.7412643432617188, 0.19604466276156002, 2020-03-31_225115
SQL, 3, Del, TableB, 100, 1, True, 3.6578989028930664, 3.692746162414551, 0.2207659073968955, 2020-03-31_225115
SQL, 3, Ins, TableC, 100, 5, True, 3.77669095993042, 3.651738166809082, 1.3866684635761775, 2020-03-31_225116
SQL, 3, Del, TableC, 100, 5, True, 3.9054489135742188, 3.734588623046875, 1.0782843512805476, 2020-03-31_225116
SQL, 3, Del, TableA, 100, 5, True, 4.198246002197266, 3.7114620208740234, 3.576097998641262, 2020-03-31_225116
SQL, 3, Del, TableB, 100, 5, True, 3.6920642852783203, 3.711700439453125, 0.19501264933971985, 2020-03-31_225116
SQL, 3, Ins, TableC, 100, 10, True, 3.753950595855713, 3.672957420349121, 0.8856026565319771, 2020-03-31_225118
SQL, 3, Del, TableC, 100, 10, True, 3.65231990814209, 3.657817840576172, 0.1711814320304778, 2020-03-31_225118
SQL, 3, Del, TableA, 100, 10, True, 3.6353111267089844, 3.645658493041992, 0.20098190697228116, 2020-03-31_225118
